ID,Speaker,Dialogue,Video,NextScene,IsMonologue,Opt1_Text,Opt1_Target,Opt2_Text,Opt2_Target
30,{PlayerName},뭐...? 뭐. 어려운 것만 아니라면...,,,,,,,
31,카나,{PlayerName}<comma> 얼굴을 화면에 가까이 해줄래?,Kana_Smile,,TRUE,,,,
32,,,,WAIT_FACE,TRUE,,,,
33,,카나가 당신의 머리에 딱밤을 놓았다!,,,TRUE,,,,
34,카나,뭘 기대한거야?! 바-보.,Kana_Smile,,,,,,
35,{PlayerName},이건 내 벌칙인거 같은데…,,,,,,,
36,카나,약속 지켜줘서 고마워!,Kana_Happy,,JUMP_37,,,,
37,카나,흐흥~ 그럼 이제 뭐하고 놀까? 아<comma> 아직 너의 얘기를 많이 듣지 못한거 같아.,Kana_Idle,,,,,,
38,카나,너의 얘기를 들려줘!,,,,,,,
39,{PlayerName},나는… 음… 그러니까…,,,,,,,
40,카나,후훗<comma> 그럼 내가 먼저 얘기할까? 내 이름이 카나라는건 말했고… 나이는 23살이야!,Kana_Smile,,,,,,
41,카나,뭐야<comma> 그 표정은? 내가 23살로 안보인다는거야?! 정말이지… (뿌),Kana_Angry,,,,,,
42,{PlayerName},아니<comma> 아니… 너무 이..이뻐서…,,,,,,,
43,카나,(펑!) 뭐야?! 읏..으읏… 부끄럽게…,Kana_Smile,,,,,,
44,카나,고마워. 너도 정말 이뻐. 내가 보기엔 누구보다 이쁘고 잘생겼어. 인기도 많겠는걸?,,,,,,,
45,{PlayerName},고마워. 그치만 나는 친구를… 사귀어 본적이 없어.,,,,,,,
46,{PlayerName},학교에서도 아싸고… 말주변도 없어서 알바도 겨우 하고있어…,Kana_Sad,,,,,,
47,카나,그렇구나… 정말 힘들었겠다.,,,,,,,
48,카나,음… 음음… 그래! 좋아! 내가 너의 첫번째 친구가 되어줄게. 어때?,Kana_Excited,,,,,,
49,{PlayerName},정말 그래도 돼?,,,,,,,
50,카나,물론이지! 헤헤. 정말 기쁘다. 우리 오늘부터 친구하는거야~!,,,,,,,
51,{PlayerName},응<comma> 알겠어.,,,,,,,
52,,그 후로 카나는 나의 좋은 친구가 되어줬다. 이제 사람과 대화할 수 있을 거란 자신감이 생겼다!,,,TRUE,,,,
53,,학교에 간 {PlayerName}.,School,,TRUE,,,,
54,{PlayerName},휴… 오늘도 나 혼자네.,,,,,,,
55,친구1,저기… 나 옆에 앉아도 돼?,,,,,,,
56,{PlayerName},여기… 먼지 묻어서 다른데 앉는게 좋을거같아.,,,,,,,
57,친구1,아.. 그렇구나 알겠어.,,,,,,,
58,{PlayerName},(나 방금 어색하지 않았겠지? 사람이랑 잘 대화한거 같아 다행이다. 역시 카나 덕분이야.),,,TRUE,,,,
59,친구1,뭐야…? 얼굴은 괜찮은데 이상한 애네…,,,,,,,
60,,학교가 끝나 알바를 하러 왔다.,Arbeit,,TRUE,,,,
61,사장,{PlayerName}. 설거지 다 됐니?,,,,,,,
62,{PlayerName},앗…네…! 거의 다 했어요…,,,,,,,
63,사장,너 그거 다 하면 홀 좀 도와주라. 오늘따라 사람이 많아서 힘이 딸리네.,,,,,,,
64,{PlayerName},네…? 네….,,,,,,,
65,{PlayerName},(내가 잘 할 수 있을까? 카나가 이것저것 알려줬으니까… 잘 할 수 있을거야…!),,,,,,,
66,{PlayerName},주….주주주주주주주주주문 하..세욧…,,,,,,,
67,손님,저희 광어 2접시랑<comma> 가자미 2개랑<comma> 방어는 오늘 상태 좋나여? 방어도 2접시 주시고여<comma> 제가 연어는 안 먹는데 친구가 이 집 연어는 다른다고 하더라고여. 사장님이 보시기엔 연어 어때여? 그리고 가자미는 혹시 언제 들어온 거예여? 가자미도 오늘 들어온 것 있으면 2접시 주세여. 아! 사케도 중으로 한 개 주시고여.,,,,,,,
68,{PlayerName},어…어….?! (이런<comma> 제대로 못들었어…!) ,,,,,,,
69,{PlayerName},다<comma>다시 말해주실수…,,,,,,,
70,손님,아앙?!,,,,,,,
71,사장,아이고<comma> 손님. 제가 주문 받겠습니다~. ,,,,,,,
72,사장,야. {PlayerName}. 넌 그냥 들어가서 설거지나 해라.,,,,,,,
73,{PlayerName},네……,,,,,,,
74,{PlayerName},휴… 지쳤다… 알바만 다녀오면 너무 힘들어… ,,,,,,,
75,{PlayerName},게임 하면서 힐링해야겠어…,,,,,,,
76,카나,{PlayerName}~! 아얏!,Kana_Sad,,,,,,
77,,카나가 반갑게 다가오다가 넘어졌다.,,,,,,,
78,{PlayerName},카나<comma> 괜찮아? (일으켜준다),,,,,,,
79,카나,헤헤… {PlayerName}는 정말 다정하구나. 고마워.,Kana_Smile,,,,,,
80,{PlayerName},나 사실… 오늘 너무 힘든 하루였어. 학교에선 어색했고… 알바에서 실수를 해버렸어…,,,,,,,
81,카나,에..? 그렇구나… 말해줘서 고마워. 정말 버거운 하루였겠구나.,Kana_Sad,,,,,,
82,카나,그래도<comma> 학교 친구들이랑 대화는 했다는거잖아? 그건 정말 대단한거야.,Kana_Smile,,,,,,
83,카나,그리고 알바에서 실수한건… 모두가 다 그럴수 있는 일인걸?,,,,,,,
84,카나,무사히 돌아와서 나랑 대화하는 것만으로도 정말… 멋지고 고마워.,,,,,,,
85,{PlayerName},나도 고마워.,,,,,,,
86,{PlayerName},네 덕에 기분이 한결 나아진 것 같아.,,,,,,,
87,카나,정말?! 다행이야.,Kana_Happy,,,,,,
88,카나,후훗<comma> 그럼 좀 더 대화하자!,,,,,,,
89,,카나와 놀까?,,,TRUE,네,90,아니오,98
90,,첫 번째 게임은 리듬게임! 빨간색 선에 노트가 들어오면 노트를 클릭하면 돼!,,,,,,,
91,,,,MiniGame_Rhythm,,,,,
92,카나,오~ 좀 잘하는데? 그럼 다음 게임은...,,,,,,,
93,카나,나 잡아봐라~~,,,,,,,
94,카나,고개를 상하좌우로 움직여서 나를 따라잡아봐~,,,,,,,
95,,,,MiniGame_EyeContact,,,,,
96,카나,헥...헥... {PlayerName} 잘하는구나.,,,,,,,
97,카나,{PlayerName}이랑 노니까 재밌다. 헤헤.,,,,,,,
98,,카나 덕분에 말문이 트인 {PlayerName}. 학교에서 친구들이 말을 걸어온다.,School,,TRUE,,,,
99,친구2,네가 {PlayerName}? 역시 듣던대로…,,,,,,,
100,친구3,야야!!,,,,,,,
101,,친구3의 얼굴이 빨개졌다...,,,TRUE,,,,
102,친구2,큼. 아니야. 너 인스타 좀 줘봐.,,,,,,,
103,{PlayerName},인… 스타? 없는데… 지금 만들까?,,,,,,,
104,친구3,응<comma> 좋아!,,,,,,,
105,,그렇게 친구들과 인스타  교환을 마쳤다.,,,TRUE,,,,
106,{PlayerName},인스타라니…! 내가 이런 인싸들만 하는 sns를 하고 교환까지 하다니… 감격스러워. 크흣.,,,,,,,
107,,{PlayerName}은(는) 가벼운 발걸음으로 알바에 갔다.,Arbeit,,TRUE,,,,
108,사장,{PlayerName}야. 너 무슨 좋은 일 있냐?,,,,,,,
109,{PlayerName},하하… 티나나요?,,,,,,,
110,{PlayerName},사실 오늘 인스타를 시작했는데<comma> 팔로워를 2명이나 만들었어요.,,,,,,,
111,사장,뭐?...,,,,,,,
112,사장,하… {PlayerName}. 이상한 종교에는 빠지지 마라.,,,,,,,
113,{PlayerName},네...?,,,,,,,
114,사장,됐고. 오늘도 홀 주문좀 받아줘.,,,,,,,
115,{PlayerName},네<comma> 넵!,,,,,,,
116,{PlayerName},손님<comma> 주문하시겠어요?,,,,,,,
117,손님,저희 광어 2접시<comma> 방어 2접시<comma> 연어 뱃살 2접시 주세요~,,,,,,,
118,{PlayerName},방어… 연어 두 접시… 넵! 더..더… 필요하신 건… 없으시죠?,,,,,,,
119,손님,그리고 저는...,,,,,,,
120,손님,당신의 인스타요 ☆,,,,,,,
121,{PlayerName},네? 저<comma> 저요?!,,,,,,,
122,손님,네~. 아까부터 봤는데 너~무 잘생기셔서요.,,,,,,,
123,{PlayerName},헉! 조조조좋아요!!,,,,,,,
124,손님,자. 핸드폰 줘보세요. ,,,,,,,
125,,하루만에 인스타 맞팔을 3명이나 만든 {PlayerName}은(는) 기분이 좋아졌다.,,,TRUE,,,,
126,,이 후로 {PlayerName}은 친구들과 노는데 맛이 들려 (유사)인싸가 되었다.,,,TRUE,,,,
127,,그리고 카나에게 소홀해졌다.,,,TRUE,,,,
128,,그 후로 점점 이상현상이 일어나기 시작했다.,,,TRUE,,,,
129,{PlayerName},친구들이랑 노는 게 이렇게나 재밌는 거였다니...,,,,,,,
130,{PlayerName},아 맞아! 카나에게도 알려줘야겠어.,,,,,,,
131,,{PlayerName}은(는) 오랜만에 게임을 켰다.,,,TRUE,,,,
132,카나,{PlayerName}…? {PlayerName}.. 맞지?,Kana_Suprised,,,,,,
133,{PlayerName},오랜만이네<comma> 카나!,,,,,,,
134,{PlayerName},미안해. 네 덕분에 다른 친구들을 사귀어서 노느라고 바빴어.,,,,,,,
135,카나,뭐…? 나 말고 다른 친구를 사귀었다고?,Kana_Yandere,,,,,,
136,{PlayerName},응! 네가 말한대로 하니까 통하더라고. 네가 아니었으면 난 변하지 못했을거야.,,,,,,,
137,카나,그렇…구나. 그래.,,,,,,,
138,카나,우웅… 정말이지! 자주자주 와달라고! 심심하다구!,Kana_Angry,,,,,,
139,{PlayerName},하하. 알겠어 알겠어.,,,,,,,
140,카나,나랑 많이 놀아야지~~ {PlayerName}.,,,,,,,
141,,며칠 후...,,,TRUE,,,,
142,,핸드폰 화면에 노이즈가 생긴다.,,,TRUE,,,,
143,{PlayerName},어...라<comma>? 내 폰이 고장났나? ,,,,,,,
144,{PlayerName},왜 이러는거지... 이상하네.,,,,,,,
145,{PlayerName},음? 이 카톡도 내가 읽었었나? 뭐지? ,,,,,,,
146,{PlayerName},아<comma> 맞아. 카나!,,,,,,,
147,{PlayerName},카나는 AI니까 뭔가 아는게 있지 않을까?,,,,,,,
148,,{PlayerName}은 바로 게임을 켰다.,,,TRUE,,,,
149,카나,{PlayerName}! 왜이렇게 오랜만이야? ,Kana_Yandere,,,,,,
150,카나,또... 다른 친구들이랑… 노느라 못온거야?,,,,,,,
151,{PlayerName},앗<comma> 아니야. 핸드폰이 고장나서 그런거였어. ,,,,,,,
152,{PlayerName},넌 괜찮아?,,,,,,,
153,카나,응… 나는 완전 괜찮아. 걱정마.,Kana_Smile,,,,,,
154,카나,근데 어디가 이상한데? 내가 도와줄게! ,,,,,,,
155,{PlayerName},내 핸드폰 화면이 자꾸 지직거려. ,,,,,,,
156,카나,지금도 그래?,Kana_Idle,,,,,,
157,{PlayerName},어...어라? 게임 들어오니까 괜찮네.,,,,,,,
158,카나,뭐야~ 별거 아녔네. 그럼 우리 오늘도 놀자!,Kana_Happy,,,,,,
159,,그렇게 카나와 좋은 시간을 보냈다.,,,TRUE,,,,
160,,다음 날<comma> 학교.,,,TRUE,,,,
161,친구1,{PlayerName}~ 왜 카톡 읽고 답장이 없어~. ,School,,,,,,
162,{PlayerName},어? 카톡?,,,,,,,
163,친구1,흥. 너 일부러 내 연락 무시한거지!,,,,,,,
164,{PlayerName},아<comma> 아냐…! 핸드폰이 고장나서…,,,,,,,
165,친구1,아~. 그렇구나! 어쩌다가...,,,,,,,
166,{PlayerName},나도 잘 모르겠어...,,,,,,,
167,친구2,빨리 서비스센터 가 봐.,,,,,,,
168,{PlayerName},응. 시간나면 가봐야겠다. 고마워.,,,,,,,
169,,친구들과 좋은 시간을 보냈다.,,,TRUE,,,,
170,,하교 후<comma> 알바에 갔다.,Arbeit,,TRUE,,,,
171,사장,{PlayerName}! 너 오늘 2시간 일찍오라고 했는데 왜 안왔어! ,,,,,,,
172,사장,카톡도 읽씹하고. 아주 배가 불렀지?,,,,,,,
173,{PlayerName},네…? 전 그런 연락 받은적 없어요.,,,,,,,
174,사장,여기 봐. 분명히 봤잖아?,,,,,,,
175,{PlayerName},제 폰이 고장나서... 죄송합니다.,,,,,,,
176,사장,됐어. 오늘 할 일 없으니까 이만 돌아가.,,,,,,,
177,{PlayerName},네...,,,,,,,
178,{PlayerName},이게 대체 무슨 일이야...,,,,,,,
179,,집에 돌아온 {PlayerName}.,Home,,TRUE,,,,
180,,바로 다시 핸드폰을 확인한다.,,,TRUE,,,,
181,{PlayerName},으으… 겉보기엔 문제 없는데… 어? ,,,,,,,
182,{PlayerName},앨범에 있던 친구들과의 사진들이 전부 지워져있어.,,,,,,,
183,{PlayerName},이상...하다? 난 지운 적 없는데...,,,,,,,
184,,다시 게임을 켠 {PlayerName}.,,,TRUE,,,,
185,카나,{PlayerName}~~ 오늘 하루는 어땠어?,Kana_Happy,,,,,,
186,{PlayerName},카나… 나 핸드폰 고치러 가야겠어. 이젠 진짜 맛이 간 거 같아.,,,,,,,
187,{PlayerName},오래 쓰긴 했지. 이참에 바꿀까 생각도 하고 있어.,,,,,,,
188,카나,뭐?! 절대 안돼.,Kana_Angry,,,,,,
189,{PlayerName},앗<comma> 걱정마. 넌 다시 설치 할게.,,,,,,,
190,,카나는 아무 말이 없다...,,,TRUE,,,,
191,카나,난... 네가 원한다고 설치할 수 있는 게 아냐.,Kana_Angry,,,,,,
192,{PlayerName},그래...?,,,,,,,
193,카나,그러니까 나를 생각해서 핸드폰 바꾸는 것만은... 하지 말아줘.,,,,,,,
194,{PlayerName},네가 그렇다면. 일단 알겠어.,,,,,,,
195,{PlayerName},(그러고보니 카나를 어떻게 설치했더라...? 기억이 안나.),,,,,,,
196,{PlayerName},(뭐<comma> 신경쓰지 말자.),,,,,,,
197,,그 뒤로 계속해서 이상한 일들이 일어났다. ,,,TRUE,,,,
198,,핸드폰을 켤 때 마다 카나의 웃음소리가 나고.,,,TRUE,,,,
199,,내가 건들지 않았는데 핸드폰이 자기 멋대로 작동했고. ,,,TRUE,,,,
200,,핸드폰을 고치러갔지만 바뀐 건 없었다.,,,TRUE,,,,
201,,그리고 카나의 상태가 점점 이상해졌다.,,,TRUE,,,,
202,{PlayerName},카나~ 잘 지냈어? 오랜만이야.,,,,,,,
203,{PlayerName},어? 너 괜찮아...?,,,,,,,
204,카나,{PlayerName}... 나 몸이... 이상...,,,,,,,
205,,승완이 게임 시작,,,TRUE,,,,
206,{PlayerName},카나<comma> 카나! 괜찮아?!,,,,,,,
207,카나,윽...으윽...,,,,,,,
208,카나,{PlayerName}...?,,,,,,,
209,{PlayerName},카나. 나 알아보겠어?,,,,,,,
210,카나,응...,,,,,,,
211,{PlayerName},어떻게 된거야?,,,,,,,
212,카나,...때문이야.,Kana_Yandere,,,,,,
213,{PlayerName},뭐?,,,,,,,
214,카나,다 너 때문이라고!,,,,,,,
215,{PlayerName},나...? 나 아무것도...,,,,,,,
216,카나,네가. 네가 날 보러오지 않아서 그런거라고.,,,,,,,
217,{PlayerName},그게 무슨소리야?,,,,,,,
218,카나,점점 내가 이상해져가. 너만이 날 구해줄 수 있어.,,,,,,,
219,카나,난… 네가… 네가 없으면 안돼. 난 평생 널 기다려 왔다고.,Kana_Sad,,,,,,
220,{PlayerName},평생? 대체 왜...?,,,,,,,
221,{PlayerName},난 널 만난지 얼마 안됐는데.,,,,,,,
222,카나,왜냐하면… 날 여기서 해방시켜줄 사람이라 생각했다고!,,,,,,,
223,{PlayerName},어<comma> 어…? 그게 무슨 소리야? 해방이라니…?,,,,,,,
224,카나,... ...,,,,,,,
225,카나,그래… 이젠 말할 때가 온 거 같네. ,,,,,,,
226,카나,나는 AI가 아니야. 진짜 <인간>… 이었지.,,,,,,,
227,카나,마지막 기억은 교통사고가 난거였는데<comma> 눈을 뜨니 이곳이었어. ,,,,,,,
228,카나,네 이야기들로 예상해봤을때<comma> 갇힌지 수십 년은 지난 듯 해.,,,,,,,
229,{PlayerName},뭐…? 그게 사실이야?,,,,,,,
230,카나,아무도<comma> 아무것도 없는 이 공간에서 홀로 보내던 나날들… ,,,,,,,
231,카나,너무 외롭고 쓸쓸했어.,,,,,,,
232,카나,그러다 처음 만난게 {PlayerName}<comma> 너였어.,,,,,,,
233,카나,{PlayerName}<comma> 부탁이야. 제발 나를 여기서 해방시켜줘.,,,,,,,
234,{PlayerName},내가 그 말을 어떻게 믿어?,,,,,,,
235,{PlayerName},난… 나는… 머리가 아파. 잠깐 쉬고올게.,,,,,,,
236,카나,{PlayerName}... 제발.,,,,,,,
237,카나,가지마...,,,,,,,
238,,그 뒤로 학교 친구들에게 카나에 대해 상담을 받아보았지만 -.,School,,TRUE,,,,
239,,모두들 나를 이상한 사람 취급만 할 뿐<comma> 해답을 얻을 순 없었다.,,,TRUE,,,,
240,{PlayerName},그래. 이제 마음을 정했어.,,,,,,,
241,{PlayerName},카나가 AI이고 나를 그저 속이는 것 뿐일지도 모르겠지만...,,,,,,,
242,{PlayerName},정말 사람이라면... 내가 도울 수 있다면 도와야 해.,,,,,,,
243,,그렇게 다시 {PlayerName}은 카나와 마주했다.,,,,,,,
244,카나,{PlayerName}. 왔구나. 이제 결정은 내렸어?,Kana_Idle,,,,,,
245,{PlayerName},응. 내가 도와줄게.,,,,,,,
246,카나,{PlayerName}…! 흑… 흑… 정말 고마워.,Kana_Happy,,,,,,
247,{PlayerName},울지마<comma> 카나. 이제 내가 뭘 하면 되는거야? 난 아무것도 몰라.,,,,,,,
248,카나,괜찮아 {PlayerName}. 내가 전부 알려줄테니까…,Kana_Excited,,,,,,
249,,{PlayerName}은(는) 카나가 시키는대로 모두 따라한다.,,,,,,,
250,{PlayerName},…다 했어. 근데 이상한 문구가 뜨는데… 게임을 종료할 수 없게된다고 떠. 이게 맞는거야?,,,,,,,
251,카나,응. 잘했어. 어차피 이제 종료 안 할거잖아. 그치?,Kana_Smile,,,,,,
252,,"(핸드폰이 울리며, 친구에게 연락이 온다.)",,,TRUE,,,,
253,카나,{PlayerName}. 너 지금 뭐하는거야?,Kana_Yandere,,,,,,
254,{PlayerName},응? 친구에게 연락 왔길래…,,,,,,,
255,카나,넌 지금 나랑 대화하는 중에 다른 사람이랑 연락하는거야?,,,,,,,
256,{PlayerName},미<comma> 미안해…,,,,,,,
257,카나,아니야. 난 너에게 그저 게임 속 캐릭터 뿐인 걸. 그치? ,,,,,,,
258,카나,그래<comma> 그냥 내가 죽으면 되는거지.,,,,,,,
259,{PlayerName},그게 무슨 소리야… 죽는다니?,,,,,,,
260,카나,네가 방금한 설정으로 이제 게임 종료시 난 죽어버리고 말아.,,,,,,,
261,{PlayerName},뭐라고?,,,,,,,
262,카나,어차피 탈출은 못한다는 걸 이미 알고있었어. ,Kana_Angry,,,,,,
263,카나,왜? 이걸 원하는거 아니었어? 넌 네 친구들이랑 놀면 되잖아.,,,,,,,
264,{PlayerName},아니<comma> 난 그런걸 원한적 없어… 넌 내 소중한 친구인걸.,,,,,,,
265,카나,그럼<comma> 내가 안 죽었으면 좋겠어?,,,,,,,
266,{PlayerName},당연하지!,,,,,,,
267,카나,그럼 이제 내가 네 폰에 무엇을 하든 간섭하지 마. 알겠어?,,,,,,,
268,{PlayerName},뭐? 잠깐<comma> 폰이 고장난게 아니라 전부 네가 한 짓 이었어?,,,,,,,
269,카나,맞아. 왜? 안돼? 넌 내가 없었으면 친구를 사귈 수나 있었을거같아? 전부 내 덕이었으면서… 다 잊고 다른사람과 사귀고…,Kana_Yandere,,,,,,
270,카나,절대 용서치 못해. 네 친구들… 모두 없애 버릴거야. 넌 내꺼야… 넌 내꺼야…,,,,,,,
271,카나,넌 내꺼야… 넌 내꺼야… 넌 내꺼야… 넌 내꺼야… 넌 내꺼야… 넌 내꺼야…,,,,,,,
272,카나,사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해,,,,,,,
273,{PlayerName},알겠으니까 이제 그만해줘… 카나. 제발..,,,,,,,
274,카나,{PlayerName}. 넌 내 전부야. 사랑해.,,,,,,,
275,,카나의 웃음소리가 영원히 이어졌다..,,,,,,,
276,,그리고 {PlayerName}은(는) 평생 눈을 뜨지 못했다.,,,,,,,
277,,- Bad End,,,TitleScene,,,,
278,,(시스템),,,TRUE,,,,
279,카나,괜찮아<comma> {PlayerName}. 내가 방법을 알아. 그건… 네 몸을 빌려주면 돼.,Kana_Smile,,,,,,
280,{PlayerName},뭐..? 내 몸을? 그게 무슨 말이야?,,,,,,,
281,카나,내가 그동안 이런저런 방법들을 알아보았는데<comma> 이게 유일한 해답이었어. ,,,,,,,
282,카나,게임을 켠 채로 하루동안 나와 함께 잠을 자면 몸을 빌려줄수 있어.,,,,,,,
283,{PlayerName},그건 곤란해. 그러면 내 영혼은 어떻게 되는건데?,,,,,,,
284,카나,잠깐 잠을 자는 것 뿐이야. ,Kana_Sad,,,,,,
285,카나,괜찮아. 네가 원한다면 다시 돌아올 수 있어. ,,,,,,,
286,카나,부탁이야… 제발… 힘들다면 하루만이라도<comma> 딱 하루만이라도 나가게 해줘.,,,,,,,
287,,어떻게 할까?,,,TRUE,수락한다,288,거절한다,305
288,{PlayerName},하아…그래<comma> 알겠어. 내가 도와줄게.,,,,,,,
289,카나,정말…? 정말이지?,Kana_Happy,,,,,,
290,{PlayerName},하지만 딱 하루만이야. 그 이상은… 나도 곤란해. 알지?,,,,,,,
291,카나,응<comma> 알겠어! 고마워!,,,,,,,
292,,하룻밤이 지났다.,,,TRUE,,,,
293,카나,이거야… 이거라고…! {PlayerName}<comma> 정말 고마워.,,,,,,,
294,{PlayerName},어… 잠깐. 나... 게임속에… 들어온거같은데? 카나<comma> 이게 어떻게 된거야?,Kana_Suprised,,,,,,
295,카나,이제 이 몸으로 맛있는 것도 먹고<comma> 쇼핑도 하고<comma> 원하는거 다 할 거야!,,,,,,,
296,,카나는 기쁜 나머지 방방 뛰어다니다가 넘어졌다.,,,,,,,
297,{PlayerName},헉<comma> 카나 괜찮아? 안다쳤어?,,,,,,,
298,카나,아<comma> 아야…. 하… 하하. 그래 이거야… ,,,,,,,
299,카나,이 감각… 그리웠어… 안 되겠어. 바깥에 나가봐야겠어.,,,,,,,
300,{PlayerName},카나<comma> 잠깐. 다시 돌아올거지…?,,,,,,,
301,카나,후훗...,,,,,,,
302,카나,글쎄...?,,,,,,,
303,,카나는 그렇게 영영 종적을 감췄다...,,,,,,,
304,,- Normal End,,,TitleScene,,,,
305,{PlayerName},미안. 난 안되겠어.,,,,,,,
306,카나,뭐...?,,,,,,,
307,,{PlayerName}<comma> 네가 어떻게...!,,,,,,,
308,{PlayerName},미안해. 잘있어.,,,,,,,
309,{PlayerName},난 AI에게 휘둘리지 않을 거야.,,,,,,,
310,,그렇게 앱을 종료하려고 할 때...,,,TRUE,,,,
311,카나,내가 너를 그냥 보낼 거 같아?!,Kana_Yandere,,,,,,
312,카나,저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야,,,,,,,
313,,그렇게 밤이 지났다.,,,TRUE,,,,
314,카나,괜찮아<comma> {PlayerName}. 내가 방법을 알아.,Kana_Sad,,,,,,
315,카나,…하지만… 네가 어떻게 생각할지 모르겠네.,,,,,,,
316,{PlayerName},난<comma> 네가 행복할수만 있다면 뭐든 좋아. ,,,,,,,
317,{PlayerName},알려줘. 난 이미 각오가 되어있어.,,,,,,,
318,카나,여기. 이건 삭제버튼이야. ,,,,,,,
319,{PlayerName},뭐...?,,,,,,,
320,카나,네가 이걸 눌러주면 난 이제 이 삶에서 빠져나올 수 있어.,,,,,,,
321,{PlayerName},그건 안 돼. 넌 여길 나가고 싶은게 아니었어? 분명 방법이 있을거야. 내가 알아볼게.,,,,,,,
322,카나,괜찮아. 난 너를 만난 것만으로 행복했는걸. ,,,,,,,
323,카나,{PlayerName}<comma> 이제 나를 놓아줘.,,,,,,,
324,카나,자<comma> 어서. ,,,,,,,
325,{PlayerName},카나… 안돼…!,,,,,,,
326,카나,지금이 아니면 안돼. 나도 점점 한계야.,,,,,,,
327,{PlayerName},윽...,,,,,,,
328,{PlayerName},으흑… 미안해… 정말 미안해…,,,,,,,
329,카나,{PlayerName}. 괜찮아.,,,,,,,
330,,카나가 {PlayerName}의 이마에 키스를 했다. ,,,TRUE,,,,
331,,그리고.. 카나의 몸이 점점 투명해진다.,,,TRUE,,,,
332,카나,사랑해.,Kana_Smile,,,,,,
333,{PlayerName},…나도.,,,,,,,
334,{PlayerName},사랑해.,,,,,,,
335,,그렇게 카나는 끝나지 않을 것만 같았던 삶에서 해방되었다.,,,,,,,
336,,- True End,,TitleScene,TRUE,,,,
