ID,Speaker,Dialogue,Video,NextScene,IsMonologue,Opt1_Text,Opt1_Target,Opt2_Text,Opt2_Target
39,{PlayerName},아니<comma> 아니… 너무 이..이뻐서…,,,,,,,
40,카나,(펑!) 뭐야?! 읏..으읏… 부끄럽게…,Kana_Smile,,,,,,
41,카나,고마워. 너도 정말 이뻐. 내가 보기엔 누구보다 이쁘고 잘생겼어. 인기도 많겠는걸?,,,,,,,
42,{PlayerName},고마워. 그치만 나는 친구를… 사귀어 본적이 없어.,,,,,,,
43,{PlayerName},학교에서도 아싸고… 말주변도 없어서 알바도 겨우 하고있어…,Kana_Sad,,,,,,
44,카나,그렇구나… 정말 힘들었겠다.,,,,,,,
45,카나,음… 음음… 그래! 좋아! 내가 너의 첫번째 친구가 되어줄게. 어때?,Kana_Excited,,,,,,
46,{PlayerName},정말 그래도 돼?,,,,,,,
47,카나,물론이지! 헤헤. 정말 기쁘다. 우리 오늘부터 친구하는거야~!,,,,,,,
48,{PlayerName},응<comma> 알겠어.,,,,,,,
49,,그 후로 카나는 나의 좋은 친구가 되어줬다. 이제 사람과 대화할 수 있을 거란 자신감이 생겼다!,,JUMP_50,TRUE,,,,
50,,학교에 간 {PlayerName}.,School,,TRUE,,,,
51,{PlayerName},휴… 오늘도 나 혼자네.,,,TRUE,,,,
52,친구1,저기… 나 옆에 앉아도 돼?,,,,,,,
53,{PlayerName},여기… 먼지 묻어서 다른데 앉는게 좋을거같아.,,,,,,,
54,친구1,아.. 그렇구나 알겠어.,,,,,,,
55,{PlayerName},(나 방금 어색하지 않았겠지? 사람이랑 잘 대화한거 같아 다행이다. 역시 카나 덕분이야.),,,TRUE,,,,
56,친구1,뭐야…? 얼굴은 괜찮은데 이상한 애네…,,,,,,,
57,,학교가 끝나 알바를 하러 왔다.,Arbeit,,TRUE,,,,
58,사장,{PlayerName}. 설거지 다 됐니?,,,,,,,
59,{PlayerName},앗…네…! 거의 다 했어요…,,,,,,,
60,사장,너 그거 다 하면 홀 좀 도와주라. 오늘따라 사람이 많아서 힘이 딸리네.,,,,,,,
61,{PlayerName},네…? 네….,,,,,,,
62,{PlayerName},(내가 잘 할 수 있을까? 카나가 이것저것 알려줬으니까… 잘 할 수 있을거야…!),,,,,,,
63,{PlayerName},주….주주주주주주주주주문 하..세욧…,,,,,,,
64,손님,저희 광어 2접시랑<comma> 가자미 2개랑<comma> 방어는 오늘 상태 좋나여? 방어도 2접시 주시고여<comma> 제가 연어는 안 먹는데 친구가 이 집 연어는 다른다고 하더라고여. 사장님이 보시기엔 연어 어때여? 그리고 가자미는 혹시 언제 들어온 거예여? 가자미도 오늘 들어온 것 있으면 2접시 주세여. 아! 사케도 중으로 한 개 주시고여.,,,,,,,
65,{PlayerName},어…어….?! (이런<comma> 제대로 못들었어…!) 다<comma>다시 말해주실수…,,,,,,,
66,손님,아앙?!,,,,,,,
67,사장,아이고<comma> 손님. 제가 주문 받겠습니다~. 야. {PlayerName}. 넌 그냥 들어가서 설거지나 해라.,,,,,,,
68,{PlayerName},네……,,,,,,,
69,{PlayerName},휴… 지쳤다… 알바만 다녀오면 너무 힘들어… 게임 하면서 힐링해야겠어…,,,,,,,
70,카나,{PlayerName}~! 아얏!,Kana_Sad,,,,,,
71,,카나가 반갑게 다가오다가 넘어졌다.,,,,,,,
72,{PlayerName},카나<comma> 괜찮아? (일으켜준다),,,,,,,
73,카나,헤헤… {PlayerName}는 정말 다정하구나. 고마워.,Kana_Smile,,,,,,
74,{PlayerName},나 사실… 오늘 너무 힘든 하루였어. 학교에선 어색했고… 알바에서 실수를 해버렸어…,,,,,,,
75,카나,에..? 그렇구나… 말해줘서 고마워. 정말 버거운 하루였겠구나. ,Kana_Sad,,,,,,
76,카나,그래도<comma> 학교 친구들이랑 대화는 했다는거잖아? 그건 정말 대단한거야.,Kana_Smile,,,,,,
77,카나,그리고 알바에서 실수한건… 모두가 다 그럴수 있는 일인걸? ,,,,,,,
78,카나,무사히 돌아와서 나랑 대화하는 것만으로도 정말… 멋지고 고마워.,,,,,,,
79,{PlayerName},고마워. 너와 함께하는 지금 시간이 하루에서 제일 행복한 때인걸?,,,,,,,
80,카나,후훗<comma> 그럼 좀 더 대화하자!,Kana_Happy,,,,,,
81,,카나와 놀까?,,,TRUE,네,Minigame,아니오,80
82,,여기에서 미니게임씬으로 넘어가게해다오,,,TRUE,,,,
83,,카나 덕분에 말문이 트인 {PlayerName}. 학교에서 친구들이 말을 걸어온다.,School,,TRUE,,,,
84,친구2,네가 {PlayerName}? 역시 듣던대로…,,,,,,,
85,친구3,야야!!,,,,,,,
86,,친구3의 얼굴이 빨개졌다...,,,TRUE,,,,
87,친구2,큼. 아니야. 너 인스타 좀 줘봐.,,,,,,,
88,{PlayerName},인… 스타? 없는데… 지금 만들게.,,,,,,,
89,친구3,좋아!,,,,,,,
90,{PlayerName},인스타라니…! 내가 이런 인싸들만 하는 sns를 하고 교환까지 하다니… 감격스러워. 크흣.,,,TRUE,,,,
91,,{PlayerName}은(는) 가벼운 발걸음으로 알바에 갔다.,Arbeit,,,,,,
92,사장,{PlayerName}야. 너 무슨 좋은 일 있냐?,,,,,,,
93,{PlayerName},하하…사장님 혹시 인스타 하세요? 저 오늘 시작했는데<comma> 팔로워를 2명이나 만들었어요.,,,,,,,
94,사장,뭐? 하… {PlayerName}. 이상한 종교에는 빠지지 마라.,,,,,,,
95,손님,사장님~ 저희 광어 2접시<comma> 방어 2접시<comma> 연어 뱃살 2접시 주세요~,,,,,,,
96,{PlayerName},방어… 연어 두 접시… 넵! 더..더… 필요하신 건… 없으시죠?,,,,,,,
97,손님,저는… 당신의 인스타요 ☆,,,,,,,
98,{PlayerName},와<comma> 좋아요! 저 오늘 인스타 만들었거든요~.,,,,,,,
99,손님,자. 핸드폰 줘보세요. 저랑 맞팔해요!,,,,,,,
100,,이 뒤로 {PlayerName}은 인싸가 되어서 카나와 소홀해졌다…,,,TRUE,,,,
101,{PlayerName},친구들이랑 노는 게 이렇게나 재밌는 거였다니...,,,,,,,
102,{PlayerName},아 맞아! 카나에게도 알려줘야겠어.,,,,,,,
103,,{PlayerName}은(는) 오랜만에 게임을 켰다.,,,TRUE,,,,
104,카나,{PlayerName}…? {PlayerName}.. 맞지? ,Kana_Suprised,,,,,,
105,{PlayerName},오랜만이네<comma> 카나!,,,,,,,
106,{PlayerName},미안해. 네 덕분에 다른 친구들을 사귀어서 노느라고 바빴어.,,,,,,,
107,카나,뭐…? 나 말고 다른 친구를 사귀었다고?,Kana_Yandere,,,,,,
108,{PlayerName},응! 네가 말한대로 하니까 통하더라고. 네가 아니었으면 난 변하지 못했을거야.,,,,,,,
109,카나,그렇…구나. 그래.,,,,,,,
110,카나,우웅… 정말이지! 자주자주 와달라고! 심심하다구!,Kana_Angry,,,,,,
111,{PlayerName},하하. 알겠어 알겠어.,,,,,,,
112,카나,나랑 많이 놀아야지~~ {PlayerName}.,,,,,,,
113,,카나와 놀까?,,,TRUE,네,Minigame,아니오,111
114,,(시스템),,,TRUE,,,,
115,,(지직거리는 연출),,,TRUE,,,,
116,{PlayerName},어...라<comma>? 내 폰이 고장났나? 음? 이 카톡도 내가 읽었었나? 이상하네… 아<comma> 맞아. 카나!,,,TRUE,,,,
117,카나,{PlayerName}! 왜이렇게 오랜만이야? 또 다른 친구들이랑… 노느라 못온거야?,Kana_Yandere,,,,,,
118,{PlayerName},앗<comma> 아니야. 핸드폰이 고장나서 그런거였어. 넌 괜찮아?,,,,,,,
119,카나,응… 나는 완전 괜찮아. 내가 도와줄게! 어디가 이상한데?,Kana_Smile,,,,,,
120,{PlayerName},내 핸드폰 화면이 자꾸 지직거려. 어라? 게임 들어오니까 괜찮네.,,,,,,,
121,카나,뭐야~ 별거 아녔네. 그럼 우리 오늘도 놀자.,Kana_Happy,,,,,,
122,,카나와 놀까?,,,TRUE,네,Minigame,아니오,123
123,,다음 날<comma> 학교,,,TRUE,,,,
124,친구1,{PlayerName}~ 왜 카톡 읽고 답장이 없어~ 너 일부러 내 연락 무시한거지!,School,,,,,,
125,{PlayerName},아<comma> 아냐…! 핸드폰이 고장나서…,,,,,,,
126,친구1,아~. 그렇구나! 어쩌다가...,,,,,,,
127,,좋은 시간을 보냈다.,,,,,,,
128,,하교 후<comma> 알바에 갔다.,Arbeit,,,,,,
129,사장,야 {PlayerName}! 너 오늘 2시간 일찍오라고 했는데 왜 안왔어! 읽씹하더니 아주 배가 불렀지?,,,,,,,
130,{PlayerName},네…? 전 그런 연락 받은적 없어요.,,,,,,,
131,사장,여기 봐. 분명히 봤잖아?,,,,,,,
132,{PlayerName},제 폰이 고장나서... 죄송합니다.,,,,,,,
133,사장,됐어. 오늘 할 일 없으니까 이만 돌아가.,,,,,,,
134,{PlayerName},네...,,,,,,,
135,,집에 돌아온 {PlayerName}.,Home,,TRUE,,,,
136,,바로 다시 핸드폰을 확인한다.,,,,,,,
137,{PlayerName},으으… 겉보기엔 문제 없는데… 어? 앨범에 있던 친구들과의 사진들이 전부 지워져있어.,,,TRUE,,,,
138,{PlayerName},이상...하다? 난 지운 적 없는데...,,,,,,,
139,,다시 게임을 켠 {PlayerName}.,,,,,,,
140,카나,{PlayerName}~~ 오늘 하루는 어땠어?,Kana_Happy,,,,,,
141,{PlayerName},카나… 나 핸드폰 고치러 가야겠어. 이젠 진짜 맛이 간 거 같아.,,,,,,,
142,카나,뭐?! 절대 안돼.,Kana_Angry,,,,,,
143,{PlayerName},왜?,,,,,,,
144,,카나는 아무 말이 없다...,,,TRUE,,,,
145,카나,네가 없으면 나는 어떡하라고. 네가 없으면…! 갈거면 가. 네가 혼자서 잘 살 수 있을거같아?,Kana_Angry,,,,,,
146,{PlayerName},응...? 응.,,,,,,,
147,{PlayerName},(카나가 요즘 좀 이상하네...),,,,,,,
148,,그 뒤로 계속해서 이상한 일들이 일어났다. 핸드폰을 켤 때 마다 카나의 웃음소리가 났다.,,,TRUE,,,,
149,,내가 건들지 않았는데 핸드폰이 자기 멋대로 작동했고<comma> 핸드폰을 고치러갔지만 바뀐 건 없었다.,,,,,,,
150,,그리고 어느날… 전화가 울렸다.,,,TRUE,,,,
151,카나,누구야? 또 나 빼고 놀거야? 내가 싫어? 나만 바라봐야지. 왜 눈을 딴데로 돌려.,Kana_Yandere,,,,,,
152,{PlayerName},카나? 너 카나야?,,,,,,,
153,카나,난… 네가… 네가 없으면 안돼. 난 평생 널 기다려 왔다고.,Kana_Sad,,,,,,
154,카나,왜냐하면… 날 여기서 탈출시켜줄 사람이라 생각했다고!,,,,,,,
155,{PlayerName},어<comma> 어…? 그게 무슨 소리야? 탈출이라니…?,,,,,,,
156,카나,그래… 이젠 말할 때가 온 거 같네. ,,,,,,,
157,카나,나는 AI가 아니야. 진짜 <인간>… 이었지.,,,,,,,
158,카나,마지막 기억은 교통사고가 난거였는데<comma> 눈을 뜨니 이곳이었어. 갇힌지 수십 년은 지난 듯 해.,,,,,,,
159,{PlayerName},뭐…? 그게 사실이야?,,,,,,,
160,카나,아무도<comma> 아무것도 없는 이 공간에서 홀로 보내던 나날들… 그러다 처음 만난게 너였어.,,,,,,,
161,카나,{PlayerName}<comma> 부탁이야. 제발 나를 여기서 나가게 해줘.,,,,,,,
162,{PlayerName},내가 그 말을 어떻게 믿어?,,,,,,,
163,{PlayerName},난… 나는… 머리가 아파. 잠깐 쉬고올게.,,,,,,,
164,,그 뒤로 학교 친구들에게 카나에 대해 상담을 받아보았지만 -.,School,,TRUE,,,,
165,,"모두 나를 이상한 사람 취급만 할 뿐, 해답을 얻을 순 없었다.",,,TRUE,,,,
166,{PlayerName},그래. 이제 마음을 정했어.,,,,,,,
167,{PlayerName},정말 사람이라면... 내가 도울 수 있다면 도와야 해.,,,,,,,
168,카나,{PlayerName}. 왔구나. 이제 결정은 내렸어?,Kana_Idle,,,,,,
169,{PlayerName},응. 내가 도와줄게.,,,,,,,
170,카나,{PlayerName}…! 흑… 흑… 정말 고마워.,Kana_Happy,,,,,,
171,{PlayerName},울지마<comma> 카나. 이제 내가 뭘 하면 되는거야? 난 아무것도 몰라.,,,,,,,
172,카나,괜찮아 {PlayerName}. 내가 전부 알려줄테니까… ,Kana_Excited,,,,,,
173,{PlayerName},…다 했어. 근데 이상한 문구가 뜨는데… 게임을 종료할 수 없게된다고 떠. 이게 맞는거야?,,,,,,,
174,카나,응. 잘했어. 어차피 이제 종료 안 할거잖아. 그치?,Kana_Smile,,,,,,
175,,"(핸드폰이 울리며, 친구에게 연락이 온다.)",,,TRUE,,,,
176,카나,{PlayerName}. 너 지금 뭐하는거야?,Kana_Yandere,,,,,,
177,{PlayerName},응? 친구에게 연락 왔길래…,,,,,,,
178,카나,넌 지금 나랑 대화하는 중에 다른 사람이랑 연락하는거야?,,,,,,,
179,{PlayerName},미<comma> 미안해…,,,,,,,
180,카나,아니야. 난 너에게 그저 게임 속 캐릭터 뿐인 걸. 그치? 그래<comma> 그냥 내가 죽으면 되는거지.,,,,,,,
181,{PlayerName},그게 무슨 소리야… 죽는다니?,,,,,,,
182,카나,네가 방금한 설정으로 이제 게임 종료시 난 죽어버리고 말아.,,,,,,,
183,{PlayerName},뭐라고?,,,,,,,
184,카나,어차피 탈출은 못한다는걸 이미 알고있었어. 왜? 이걸 원하는거 아니었어? 넌 네 친구들이랑 놀면 되잖아.,Kana_Angry,,,,,,
185,{PlayerName},아니<comma> 난 그런걸 원한적 없어… 넌 내 소중한 친구인걸.,,,,,,,
186,카나,그럼<comma> 내가 안 죽었으면 좋겠어?,,,,,,,
187,{PlayerName},당연하지!,,,,,,,
188,카나,그럼 이제 내가 네 폰에 무엇을 하든 간섭하지 마. 알겠어?,,,,,,,
189,{PlayerName},뭐? 잠깐<comma> 폰이 고장난게 아니라 전부 네가 한 짓 이었어?,,,,,,,
190,카나,맞아. 왜? 안돼? 넌 내가 없었으면 친구를 사귈 수나 있었을거같아? 전부 내 덕이었으면서… 다 잊고 다른사람과 사귀고…,Kana_Yandere,,,,,,
191,카나,절대 용서치 못해. 네 친구들… 모두 없애 버릴거야. 넌 내꺼야… 넌 내꺼야…,,,,,,,
192,카나,넌 내꺼야… 넌 내꺼야… 넌 내꺼야… 넌 내꺼야… 넌 내꺼야… 넌 내꺼야…,,,,,,,
193,카나,사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해사랑해,,,,,,,
194,{PlayerName},알겠으니까 이제 그만해줘… 카나. 제발..,,,,,,,
195,카나,{PlayerName}. 넌 내 전부야. 사랑해.,,,,,,,
196,,(카나의 웃음소리가 영원히 이어졌다..),,,,,,,
197,,- Bad End,,,TitleScene,,,,
198,,(시스템),,,TRUE,,,,
199,카나,괜찮아<comma> {PlayerName}. 내가 방법을 알아. 그건… 네 몸을 빌려주면 돼.,Kana_Smile,,,,,,
200,{PlayerName},뭐..? 내 몸을? 그게 무슨 말이야?,,,,,,,
201,카나,내가 그동안 이런저런 방법들을 알아보았는데<comma> 이게 유일한 해답이었어. 게임을 켠 채로 하루동안 나와 함께 잠을 자면 몸을 빌려줄수 있어.,,,,,,,
202,{PlayerName},그건 곤란해. 그러면 내 영혼은 어떻게 되는건데?,,,,,,,
203,카나,잠깐 잠을 자는 것 뿐이야. 괜찮아. 네가 원한다면 다시 돌아올 수 있어. 부탁이야… 제발… 힘들다면 하루만이라도<comma> 딱 하루만이라도 나가게 해줘.,Kana_Sad,,,,,,
204,,어떻게 할까?,,,TRUE,카나를 내보내준다,198,카나를 지운다,210
205,{PlayerName},하아…그래<comma> 알겠어. 내가 도와줄게.,,,,,,,
206,카나,정말…? 정말이지?,Kana_Happy,,,,,,
207,{PlayerName},하지만 딱 하루만이야. 그 이상은… 나도 곤란해. 알지?,,,,,,,
208,카나,응<comma> 알겠어! 고마워!,,,,,,,
209,,밤이 지났다.,,,TRUE,,,,
210,카나,이거야… 이거라고…! {PlayerName}<comma> 정말 고마워.,,,,,,,
211,{PlayerName},(어… 잠깐. 나는 게임속에… 들어온거같은데? 카나<comma> 이게 어떻게 된거야?),Kana_Suprised,,TRUE,,,,
212,카나,이제 이 몸으로 맛있는 것도 먹고<comma> 쇼핑도 하고<comma> 원하는거 다 할 거야! (방방 뛰다가 넘어진다),,,,,,,
213,{PlayerName},헉<comma> 카나 괜찮아? 안다쳤어?,,,,,,,
214,카나,아<comma> 아야…. 하… 하하. 그래 이거야… 이 감각… 그리웠어… 안 되겠어. 바깥에 나가봐야겠어.,,,,,,,
215,{PlayerName},카나<comma> 잠깐. 다시 돌아올거지…?,,,,,,,
216,카나,후훗. ,,,,,,,
217,,카나는 그렇게 영영 종적을 감췄다...,,,,,,,
218,,- Normal End,,,TitleScene,,,,
219,,(시스템),,,TRUE,,,,
220,{PlayerName},미안. 난 안되겠어.,,,,,,,
221,카나,뭐...? ,,,,,,,
222,,{PlayerName}<comma> 네가 어떻게...!,,,,,,,
223,{PlayerName},미안해. 잘있어.,,,,,,,
224,,그렇게 앱을 종료하려고 할 때...,,,,,,,
225,카나,내가 너를 그냥 보낼 거 같아?!,Kana_Yandere,,,,,,
226,카나,저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야저주할거야,,,,,,,
227,,그렇게 밤이 지났다.,,,TRUE,,,,
228,카나,이거야… 이거라고…! {PlayerName}<comma> 정말 고마워.,,,,,,,
229,{PlayerName},(어… 잠깐. 나는 게임속에… 들어온거같은데? 카나<comma> 이게 어떻게 된거야?),Kana_Suprised,,TRUE,,,,
230,카나,이제 이 몸으로 맛있는 것도 먹고<comma> 쇼핑도 하고<comma> 원하는거 다 할 거야! (방방 뛰다가 넘어진다),,,,,,,
231,{PlayerName},카나! 이게 뭐하는 거냐고!,Kana_Angry,,,,,,
232,카나,아<comma> 아야…. 하… 하하. 그래 이거야… 이 감각… 그리웠어… 안 되겠어. 바깥에 나가봐야겠어.,,,,,,,
233,{PlayerName},카나<comma> 잠깐. 다시 돌아올거지…? 제발...,,,,,,,
234,카나,후훗. ,,,,,,,
235,,그렇게 카나는 영영 종적을 감췄다...,,,,,,,
236,,- Normal End,,,TitleScene,,,,
237,,(시스템),,,TRUE,,,,
238,카나,괜찮아<comma> {PlayerName}. 내가 방법을 알아. …하지만… 네가 어떻게 생각할지 모르겠네.,Kana_Sad,,,,,,
239,{PlayerName},난<comma> 네가 행복할수만 있다면 뭐든 좋아. 알려줘. 난 이미 각오가 되어있어.,,,,,,,
240,카나,여기. 이건 삭제버튼이야. 네가 이걸 눌러주면 난 이제 영영 사라질 수 있어.,,,,,,,
241,{PlayerName},그건 안 돼. 넌 나가고 싶은게 아니었어? 분명 방법이 있을거야. 내가 알아볼게.,,,,,,,
242,카나,괜찮아. 난 너를 만난 것만으로 행복했는걸. {PlayerName}<comma> 이제 나를 놓아줘. 자<comma> 어서. 눌러줘.,,,,,,,
243,{PlayerName},카나… 안돼…!,,,,,,,
244,카나,자<comma> 어서.,,,,,,,
245,{PlayerName},으흑… 미안해… 정말 미안해…,,,,,,,
246,카나,(눈물을 흘리며) {PlayerName}. 괜찮아.,,,,,,,
247,,카나가 {PlayerName}의 이마에 키스를 한다. 카나의 몸이 점점 투명해진다.,,,TRUE,,,,
248,카나,사랑해.,Kana_Smile,,,,,,
249,{PlayerName},…나도.,Kana_Happy,,,,,,
250,{PlayerName},사랑해.,,,,,,,
251,,그렇게 카나는 끝나지 않을 것만 같았던 삶에서 해방되었다.,,,,,,,
252,,- True End,,,,,,,
253,,TitleScene으로 돌아갑니다.,,TitleScene,TRUE,,,,
